Year,Geography,Immig.,Reason,Age group,Both sexes,Men,Women
2006,Canada,Total,"Part-time employment, all reasons",15+,2979.2,949.4,2029.8
2006,Canada,Total,"Part-time employment, all reasons",15-24,1126,473.2,652.8
2006,Canada,Total,"Part-time employment, all reasons",25-54,1340.5,281.1,1059.3
2006,Canada,Total,"Part-time employment, all reasons",55+,512.8,195.1,317.7
2006,Canada,Total,  Own illness,15+,91.2,29.9,61.2
2006,Canada,Total,  Own illness,15-24,5.5,3,2.5
2006,Canada,Total,  Own illness,25-54,55.7,16,39.8
2006,Canada,Total,  Own illness,55+,30,11,19
2006,Canada,Total,  Caring for children,15+,307.7,12,295.8
2006,Canada,Total,  Caring for children,15-24,11.1,0,10.5
2006,Canada,Total,  Caring for children,25-54,291.4,10.3,281.1
2006,Canada,Total,  Caring for children,55+,5.3,0,4.2
2006,Canada,Total,  Other personal or family responsibilities,15+,87.3,12.5,74.8
2006,Canada,Total,  Other personal or family responsibilities,15-24,6.8,2.8,4
2006,Canada,Total,  Other personal or family responsibilities,25-54,63.9,6.2,57.7
2006,Canada,Total,  Other personal or family responsibilities,55+,16.7,3.5,13.2
2006,Canada,Total,  Going to school,15+,943,398,545.1
2006,Canada,Total,  Going to school,15-24,845.6,361,484.6
2006,Canada,Total,  Going to school,25-54,95.5,36,59.4
2006,Canada,Total,  Going to school,55+,2,0,0
2006,Canada,Total,  Personal preference,15+,811.5,240.4,571.1
2006,Canada,Total,  Personal preference,15-24,64.8,26.4,38.4
2006,Canada,Total,  Personal preference,25-54,380.5,73.5,307
2006,Canada,Total,  Personal preference,55+,366.2,140.5,225.7
2006,Canada,Total,  Other voluntary,15+,24.9,10.5,14.4
2006,Canada,Total,  Other voluntary,15-24,4.1,2,2.1
2006,Canada,Total,  Other voluntary,25-54,17.5,6.9,10.7
2006,Canada,Total,  Other voluntary,55+,3.3,1.6,1.7
2006,Canada,Total,"  Business conditions, did not look for full-time work in last month",15+,383.9,128.8,255.1
2006,Canada,Total,"  Business conditions, did not look for full-time work in last month",15-24,92.1,36.8,55.2
2006,Canada,Total,"  Business conditions, did not look for full-time work in last month",25-54,236,69.3,166.7
2006,Canada,Total,"  Business conditions, did not look for full-time work in last month",55+,55.9,22.7,33.1
2006,Canada,Total,"  Could not find full-time work, did not look for full-time work in last month",15+,123.4,34.2,89.2
2006,Canada,Total,"  Could not find full-time work, did not look for full-time work in last month",15-24,34.1,13.2,20.9
2006,Canada,Total,"  Could not find full-time work, did not look for full-time work in last month",25-54,73.9,15.9,58.1
2006,Canada,Total,"  Could not find full-time work, did not look for full-time work in last month",55+,15.4,5.1,10.3
2006,Canada,Total,"  Business conditions, looked for full-time work in last month",15+,116.7,47.6,69.2
2006,Canada,Total,"  Business conditions, looked for full-time work in last month",15-24,35.3,15.6,19.7
2006,Canada,Total,"  Business conditions, looked for full-time work in last month",25-54,71.2,26.9,44.3
2006,Canada,Total,"  Business conditions, looked for full-time work in last month",55+,10.2,5.1,5.2
2006,Canada,Total,"  Could not find full-time work, looked for full-time work in last month",15+,89.5,35.5,54
2006,Canada,Total,"  Could not find full-time work, looked for full-time work in last month",15-24,26.6,11.8,14.9
2006,Canada,Total,"  Could not find full-time work, looked for full-time work in last month",25-54,54.9,20.2,34.7
2006,Canada,Total,"  Could not find full-time work, looked for full-time work in last month",55+,7.9,3.5,4.4
2006,Canada,  Born in Canada,"Part-time employment, all reasons",15+,2421.8,759.3,1662.4
2006,Canada,  Born in Canada,"Part-time employment, all reasons",15-24,995,412.4,582.7
2006,Canada,  Born in Canada,"Part-time employment, all reasons",25-54,1048,206.3,841.6
2006,Canada,  Born in Canada,"Part-time employment, all reasons",55+,378.7,140.6,238.1
2006,Canada,  Born in Canada,  Own illness,15+,72.8,24.4,48.4
2006,Canada,  Born in Canada,  Own illness,15-24,5.1,2.9,2.2
2006,Canada,  Born in Canada,  Own illness,25-54,45.8,13.8,32
2006,Canada,  Born in Canada,  Own illness,55+,21.9,7.7,14.2
2006,Canada,  Born in Canada,  Caring for children,15+,245.2,7.8,237.4
2006,Canada,  Born in Canada,  Caring for children,15-24,10.3,0,9.8
2006,Canada,  Born in Canada,  Caring for children,25-54,231.9,6.7,225.2
2006,Canada,  Born in Canada,  Caring for children,55+,3,0,2.4
2006,Canada,  Born in Canada,  Other personal or family responsibilities,15+,66.1,8.9,57.2
2006,Canada,  Born in Canada,  Other personal or family responsibilities,15-24,5.6,2.4,3.2
2006,Canada,  Born in Canada,  Other personal or family responsibilities,25-54,49.4,4.5,44.9
2006,Canada,  Born in Canada,  Other personal or family responsibilities,55+,11.1,2,9.1
2006,Canada,  Born in Canada,  Going to school,15+,815,339.5,475.5
2006,Canada,  Born in Canada,  Going to school,15-24,747.2,315.6,431.6
2006,Canada,  Born in Canada,  Going to school,25-54,66.9,23.5,43.4
2006,Canada,  Born in Canada,  Going to school,55+,0,0,0
2006,Canada,  Born in Canada,  Personal preference,15+,645.9,183,462.9
2006,Canada,  Born in Canada,  Personal preference,15-24,57.7,23.2,34.5
2006,Canada,  Born in Canada,  Personal preference,25-54,311.3,55.6,255.6
2006,Canada,  Born in Canada,  Personal preference,55+,277,104.2,172.8
2006,Canada,  Born in Canada,  Other voluntary,15+,20.8,8.7,12.1
2006,Canada,  Born in Canada,  Other voluntary,15-24,3.8,1.8,2
2006,Canada,  Born in Canada,  Other voluntary,25-54,14.5,5.6,8.9
2006,Canada,  Born in Canada,  Other voluntary,55+,2.4,0,0
2006,Canada,  Born in Canada,"  Business conditions, did not look for full-time work in last month",15+,306.4,101.4,205
2006,Canada,  Born in Canada,"  Business conditions, did not look for full-time work in last month",15-24,82,32.2,49.8
2006,Canada,  Born in Canada,"  Business conditions, did not look for full-time work in last month",25-54,184.1,53,131.1
2006,Canada,  Born in Canada,"  Business conditions, did not look for full-time work in last month",55+,40.3,16.3,24.1
2006,Canada,  Born in Canada,"  Could not find full-time work, did not look for full-time work in last month",15+,99.5,26.3,73.2
2006,Canada,  Born in Canada,"  Could not find full-time work, did not look for full-time work in last month",15-24,30.6,11,19.6
2006,Canada,  Born in Canada,"  Could not find full-time work, did not look for full-time work in last month",25-54,57.9,11.9,46.1
2006,Canada,  Born in Canada,"  Could not find full-time work, did not look for full-time work in last month",55+,11,3.5,7.5
2006,Canada,  Born in Canada,"  Business conditions, looked for full-time work in last month",15+,87.6,34.6,53.1
2006,Canada,  Born in Canada,"  Business conditions, looked for full-time work in last month",15-24,29.9,12.8,17.1
2006,Canada,  Born in Canada,"  Business conditions, looked for full-time work in last month",25-54,51.5,19,32.4
2006,Canada,  Born in Canada,"  Business conditions, looked for full-time work in last month",55+,6.3,2.7,3.6
2006,Canada,  Born in Canada,"  Could not find full-time work, looked for full-time work in last month",15+,62.3,24.6,37.6
2006,Canada,  Born in Canada,"  Could not find full-time work, looked for full-time work in last month",15-24,22.9,10,12.9
2006,Canada,  Born in Canada,"  Could not find full-time work, looked for full-time work in last month",25-54,34.6,12.7,22
2006,Canada,  Born in Canada,"  Could not find full-time work, looked for full-time work in last month",55+,4.7,1.9,2.8
2006,Canada,  Total Landed immigrants,"Part-time employment, all reasons",15+,512.3,172.7,339.6
2006,Canada,  Total Landed immigrants,"Part-time employment, all reasons",15-24,116.7,55.1,61.6
2006,Canada,  Total Landed immigrants,"Part-time employment, all reasons",25-54,266.7,65.6,201.1
2006,Canada,  Total Landed immigrants,"Part-time employment, all reasons",55+,128.9,51.9,76.9
2006,Canada,  Total Landed immigrants,  Own illness,15+,17.3,5.1,12.2
2006,Canada,  Total Landed immigrants,  Own illness,15-24,0,0,0
2006,Canada,  Total Landed immigrants,  Own illness,25-54,9.2,1.8,7.4
2006,Canada,  Total Landed immigrants,  Own illness,55+,7.8,3.2,4.6
2006,Canada,  Total Landed immigrants,  Caring for children,15+,57.3,4,53.3
2006,Canada,  Total Landed immigrants,  Caring for children,15-24,0,0,0
2006,Canada,  Total Landed immigrants,  Caring for children,25-54,54.4,3.4,50.9
2006,Canada,  Total Landed immigrants,  Caring for children,55+,2.1,0,1.7
2006,Canada,  Total Landed immigrants,  Other personal or family responsibilities,15+,19.8,3.2,16.6
2006,Canada,  Total Landed immigrants,  Other personal or family responsibilities,15-24,0,0,0
2006,Canada,  Total Landed immigrants,  Other personal or family responsibilities,25-54,13.6,1.5,12
2006,Canada,  Total Landed immigrants,  Other personal or family responsibilities,55+,5.3,0,4
2006,Canada,  Total Landed immigrants,  Going to school,15+,112.8,51.3,61.5
2006,Canada,  Total Landed immigrants,  Going to school,15-24,88.7,41.9,46.8
2006,Canada,  Total Landed immigrants,  Going to school,25-54,23.2,9,14.2
2006,Canada,  Total Landed immigrants,  Going to school,55+,0,0,0
2006,Canada,  Total Landed immigrants,  Personal preference,15+,155.1,53.6,101.5
2006,Canada,  Total Landed immigrants,  Personal preference,15-24,5.7,2.5,3.2
2006,Canada,  Total Landed immigrants,  Personal preference,25-54,63.8,16.4,47.4
2006,Canada,  Total Landed immigrants,  Personal preference,55+,85.6,34.6,51
2006,Canada,  Total Landed immigrants,  Other voluntary,15+,3.6,1.6,2
2006,Canada,  Total Landed immigrants,  Other voluntary,15-24,0,0,0
2006,Canada,  Total Landed immigrants,  Other voluntary,25-54,2.6,0,1.6
2006,Canada,  Total Landed immigrants,  Other voluntary,55+,0,0,0
2006,Canada,  Total Landed immigrants,"  Business conditions, did not look for full-time work in last month",15+,71.3,24.5,46.7
2006,Canada,  Total Landed immigrants,"  Business conditions, did not look for full-time work in last month",15-24,8.8,3.9,4.8
2006,Canada,  Total Landed immigrants,"  Business conditions, did not look for full-time work in last month",25-54,47.5,14.5,33
2006,Canada,  Total Landed immigrants,"  Business conditions, did not look for full-time work in last month",55+,15,6.1,8.9
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, did not look for full-time work in last month",15+,22.2,7,15.2
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, did not look for full-time work in last month",15-24,3.2,2,0
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, did not look for full-time work in last month",25-54,14.7,3.4,11.3
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, did not look for full-time work in last month",55+,4.3,1.6,2.7
2006,Canada,  Total Landed immigrants,"  Business conditions, looked for full-time work in last month",15+,27,12,14.9
2006,Canada,  Total Landed immigrants,"  Business conditions, looked for full-time work in last month",15-24,4.9,2.5,2.3
2006,Canada,  Total Landed immigrants,"  Business conditions, looked for full-time work in last month",25-54,18.3,7.3,11.1
2006,Canada,  Total Landed immigrants,"  Business conditions, looked for full-time work in last month",55+,3.8,2.2,1.5
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, looked for full-time work in last month",15+,25.9,10.3,15.6
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, looked for full-time work in last month",15-24,3.3,1.6,1.7
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, looked for full-time work in last month",25-54,19.4,7.2,12.2
2006,Canada,  Total Landed immigrants,"  Could not find full-time work, looked for full-time work in last month",55+,3.2,1.6,1.6
2006,Canada,"      Very recent immigrants, 5 years or less","Part-time employment, all reasons",15+,76.9,26.4,50.5
2006,Canada,"      Very recent immigrants, 5 years or less","Part-time employment, all reasons",15-24,24.2,10.7,13.5
2006,Canada,"      Very recent immigrants, 5 years or less","Part-time employment, all reasons",25-54,48.8,14.6,34.2
2006,Canada,"      Very recent immigrants, 5 years or less","Part-time employment, all reasons",55+,3.9,0,2.8
2006,Canada,"      Very recent immigrants, 5 years or less",  Own illness,15+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Own illness,15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Own illness,25-54,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Own illness,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Caring for children,15+,8.5,0,7.9
2006,Canada,"      Very recent immigrants, 5 years or less",  Caring for children,15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Caring for children,25-54,8.1,0,7.5
2006,Canada,"      Very recent immigrants, 5 years or less",  Caring for children,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other personal or family responsibilities,15+,1.7,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other personal or family responsibilities,15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other personal or family responsibilities,25-54,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other personal or family responsibilities,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Going to school,15+,27,12,15.1
2006,Canada,"      Very recent immigrants, 5 years or less",  Going to school,15-24,18.4,8.1,10.3
2006,Canada,"      Very recent immigrants, 5 years or less",  Going to school,25-54,8.6,3.9,4.7
2006,Canada,"      Very recent immigrants, 5 years or less",  Going to school,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Personal preference,15+,10.3,3.2,7.2
2006,Canada,"      Very recent immigrants, 5 years or less",  Personal preference,15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Personal preference,25-54,7.8,2.4,5.4
2006,Canada,"      Very recent immigrants, 5 years or less",  Personal preference,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other voluntary,15+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other voluntary,15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other voluntary,25-54,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less",  Other voluntary,55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, did not look for full-time work in last month",15+,11,3.8,7.2
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, did not look for full-time work in last month",15-24,1.5,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, did not look for full-time work in last month",25-54,8.5,2.8,5.7
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, did not look for full-time work in last month",55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, did not look for full-time work in last month",15+,4.6,0,3.4
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, did not look for full-time work in last month",15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, did not look for full-time work in last month",25-54,3.7,0,2.9
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, did not look for full-time work in last month",55+,0,0,0
